latitude,longitude,timestamp,temperature,windspeed,humidity,precipitation,dewpoint,cloud_cover,pressure,solar_radiation,sunshine_duration,ndvi,elevation,month,Cluster,Suitability_Score,Suitability_Category
10.401193,99.278365,2025-04-01 00:00:00,26.5,3.5,88,0.3,24.4,100,1001.6,12,0.0,7877,35,4,-1,61.776935145115175,Good
10.401193,99.278365,2025-04-01 01:00:00,27.2,4.9,84,0.4,24.2,100,1002.1,111,1307.67,7877,35,4,-1,61.776935145115175,Good
10.401193,99.278365,2025-04-01 02:00:00,27.8,6.9,81,0.6,24.3,100,1003.0,275,3600.0,7877,35,4,-1,61.776935145115175,Good
10.401193,99.278365,2025-04-01 03:00:00,28.4,8.3,79,0.4,24.4,100,1002.9,411,3600.0,7877,35,4,-1,61.776935145115175,Good
10.401193,99.278365,2025-04-01 04:00:00,28.7,9.0,77,0.1,24.2,100,1003.0,420,1692.07,7877,35,4,-1,61.776935145115175,Good
10.401193,99.278365,2025-04-01 05:00:00,28.8,9.8,77,0.4,24.3,100,1002.7,525,600.76,7877,35,4,-1,61.776935145115175,Good
10.401193,99.278365,2025-04-01 06:00:00,28.2,7.8,82,0.3,24.8,100,1002.2,485,0.0,7877,35,4,1,51.85852843701271,Moderate
10.401193,99.278365,2025-04-01 07:00:00,27.9,8.1,82,1.2,24.6,100,1001.5,423,52.7,7877,35,4,-1,61.776935145115175,Good
10.401193,99.278365,2025-04-01 08:00:00,27.4,7.7,84,1.2,24.5,100,1000.7,253,0.0,7877,35,4,1,51.85852843701271,Moderate
10.401193,99.278365,2025-04-01 09:00:00,27.3,6.8,84,0.8,24.3,100,1000.2,234,0.0,7877,35,4,1,51.85852843701271,Moderate
10.401193,99.278365,2025-04-01 10:00:00,27.1,5.8,84,0.2,24.1,100,1000.1,131,0.0,7877,35,4,1,51.85852843701271,Moderate
10.401193,99.278365,2025-04-01 11:00:00,27.1,4.6,83,0.0,24.0,100,1000.3,86,0.0,7877,35,4,-1,61.776935145115175,Good
10.401193,99.278365,2025-04-01 12:00:00,27.0,3.2,84,0.0,24.0,100,1000.6,9,0.0,7877,35,4,-1,61.776935145115175,Good
10.401193,99.278365,2025-04-01 13:00:00,26.7,4.1,87,0.0,24.3,72,1001.3,0,0.0,7877,35,4,-1,61.776935145115175,Good
10.401193,99.278365,2025-04-01 14:00:00,26.4,3.3,89,0.0,24.5,96,1002.1,0,0.0,7877,35,4,0,58.89127139503003,Moderate
10.401193,99.278365,2025-04-01 15:00:00,26.4,2.1,90,0.0,24.6,100,1002.7,0,0.0,7877,35,4,0,58.89127139503003,Moderate
10.401193,99.278365,2025-04-01 16:00:00,26.2,3.3,92,0.0,24.8,87,1003.0,0,0.0,7877,35,4,0,58.89127139503003,Moderate
10.401193,99.278365,2025-04-01 17:00:00,25.9,3.9,94,0.0,24.9,97,1002.6,0,0.0,7877,35,4,0,58.89127139503003,Moderate
10.401193,99.278365,2025-04-01 18:00:00,25.8,4.7,93,0.0,24.6,89,1002.3,0,0.0,7877,35,4,0,58.89127139503003,Moderate
10.401193,99.278365,2025-04-01 19:00:00,25.6,3.2,93,0.0,24.4,100,1001.2,0,0.0,7877,35,4,0,58.89127139503003,Moderate
10.401193,99.278365,2025-04-01 20:00:00,25.5,2.3,92,0.0,24.1,60,1000.8,0,0.0,7877,35,4,2,24.21482065396464,Marginal
10.401193,99.278365,2025-04-01 21:00:00,25.4,0.8,93,0.0,24.2,87,1000.5,0,0.0,7877,35,4,-1,61.776935145115175,Good
10.401193,99.278365,2025-04-01 22:00:00,25.4,0.0,92,0.0,24.0,100,1001.0,0,0.0,7877,35,4,-1,61.776935145115175,Good
10.401193,99.278365,2025-04-01 23:00:00,25.4,1.1,92,0.0,24.0,100,1001.5,0,0.0,7877,35,4,-1,61.776935145115175,Good
10.401193,99.278365,2025-04-02 00:00:00,25.7,0.4,91,0.0,24.1,100,1002.3,20,0.0,7877,35,4,-1,61.776935145115175,Good
10.401193,99.278365,2025-04-02 01:00:00,26.5,0.7,88,0.0,24.4,100,1002.9,123,0.0,7877,35,4,-1,61.776935145115175,Good
10.401193,99.278365,2025-04-02 02:00:00,27.4,4.0,83,0.4,24.3,100,1003.7,262,290.86,7877,35,4,-1,61.776935145115175,Good
10.401193,99.278365,2025-04-02 03:00:00,27.9,5.7,81,0.6,24.4,100,1003.9,336,0.0,7877,35,4,1,51.85852843701271,Moderate
10.401193,99.278365,2025-04-02 04:00:00,28.0,7.0,80,1.0,24.2,100,1003.9,381,0.0,7877,35,4,1,51.85852843701271,Moderate
10.401193,99.278365,2025-04-02 05:00:00,27.9,7.5,80,1.4,24.2,100,1003.4,397,0.0,7877,35,4,1,51.85852843701271,Moderate
10.401193,99.278365,2025-04-02 06:00:00,27.5,7.4,82,1.2,24.2,100,1002.5,380,0.0,7877,35,4,1,51.85852843701271,Moderate
10.401193,99.278365,2025-04-02 07:00:00,27.2,5.9,84,1.3,24.2,100,1001.8,262,0.0,7877,35,4,1,51.85852843701271,Moderate
10.401193,99.278365,2025-04-02 08:00:00,27.1,6.5,85,1.0,24.4,100,1001.4,236,0.0,7877,35,4,1,51.85852843701271,Moderate
