PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2015,25.75,90.25,17.6,20.41,24.72,26.88,28.3,28.45,28.36,27.97,27.6,25.85,22.61,18.06,24.75
T2M,2015,25.75,90.75,17.17,19.46,23.41,25.44,26.98,27.6,27.56,27.21,26.93,25.03,21.7,17.22,23.83
T2M,2015,25.75,91.25,15.54,17.49,21.22,23.32,25.26,26.26,26.11,25.92,25.49,23.29,20.06,15.48,22.14
T2M,2015,25.75,91.75,14.65,16.36,20.09,22.18,24.27,25.36,25.07,25.07,24.61,22.21,18.99,14.44,21.13
T2M,2015,25.75,92.25,15.28,16.91,20.78,22.67,24.81,25.73,25.4,25.42,24.99,22.65,19.2,14.88,21.58
T2M,2015,25.75,92.75,16.62,18.33,22.4,23.8,25.96,26.51,26.14,26.07,25.75,23.55,19.95,15.85,22.6
T2M,2015,26.25,90.25,17.47,20.06,24.28,27.04,28.64,28.96,28.85,28.36,27.84,25.86,22.5,17.83,24.83
T2M,2015,26.25,90.75,17.69,19.91,23.8,26.57,28.32,29.04,28.98,28.52,28.1,25.99,22.54,17.9,24.8
T2M,2015,26.25,91.25,17.89,19.99,23.81,26.46,28.43,29.34,29.17,28.8,28.33,25.96,22.56,17.93,24.91
T2M,2015,26.25,91.75,17.45,19.6,23.52,25.79,27.82,28.7,28.46,28.22,27.71,25.25,21.74,17.3,24.32
T2M,2015,26.25,92.25,17.59,19.67,23.87,25.71,27.82,28.49,28.25,28.03,27.53,25.14,21.47,17.21,24.25
T2M,2015,26.25,92.75,17.97,20,24.44,25.8,27.97,28.31,28.11,27.81,27.45,25.16,21.43,17.33,24.34
T2M,2015,26.75,90.25,14.04,15.94,19.44,22.01,24.22,25.24,25.26,24.84,24.12,21.88,18.59,13.99,20.82
T2M,2015,26.75,90.75,14.94,16.67,19.97,22.43,24.68,25.81,25.89,25.44,24.84,22.69,19.35,14.9,21.49
T2M,2015,26.75,91.25,15.46,17.18,20.48,22.78,25.12,26.22,26.29,25.81,25.37,23.14,19.78,15.28,21.93
T2M,2015,26.75,91.75,15.02,16.65,20.02,22.14,24.45,25.63,25.67,25.26,24.75,22.53,19.07,14.79,21.35
T2M,2015,26.75,92.25,15.51,17.28,21.04,22.84,25.21,26.17,26.26,25.82,25.3,23.01,19.4,15.17,21.94
T2M,2015,26.75,92.75,16.32,18.2,22.3,23.75,26.18,26.81,26.98,26.49,26.05,23.71,20.01,15.87,22.75
T2M,2015,27.25,90.25,6.06,7.2,9.97,12.31,15.77,18.01,17.94,17.84,16.99,13.99,10.87,5.94,12.77
T2M,2015,27.25,90.75,6.98,8.13,10.84,13.06,16.48,18.59,18.59,18.43,17.61,14.78,11.63,6.93,13.53
