YEAR,MO,DY,HR,T2M,QV2M,PS,WS10M,WD10M,WS50M,WD50M,PRECTOTCORR,RH2M,T2MDEW,T2MWET,TIMESTAMP
2015,1,1,0,13.97,8.67,95.15,2.3,24.22,4.38,25.1,0,82.75,10.97,12.47,01-01-2015 00:00
2015,1,1,1,13.76,8.48,95.13,2.36,19.09,4.49,20.26,0,82.06,10.64,12.2,01-01-2015 01:00
2015,1,1,2,13.58,8.24,95.09,2.39,17.67,4.43,18.82,0,80.75,10.23,11.91,01-01-2015 02:00
2015,1,1,3,13.8,8.18,95.05,2.35,23.15,4.3,23.81,0,79,10.11,11.95,01-01-2015 03:00
2015,1,1,4,13.93,8.12,95.06,2.29,26.3,4.18,26.9,0,77.75,9.98,11.95,01-01-2015 04:00
2015,1,1,5,13.97,8,95.12,2.19,27.11,3.98,27.57,0,76.12,9.7,11.83,01-01-2015 05:00
2015,1,1,6,14.26,7.75,95.21,1.98,27.27,3.43,28.55,0,72.88,9.37,11.81,01-01-2015 06:00
2015,1,1,7,16.22,9.09,95.3,1.58,25.8,2.98,26.5,0,75.06,11.62,13.92,01-01-2015 07:00
2015,1,1,8,19.4,9.89,95.41,1.32,27.93,2.17,31.46,0,66.75,12.89,16.14,01-01-2015 08:00
2015,1,1,9,22.67,8.54,95.46,1.12,83.17,1.91,81.31,0,47.44,10.87,16.77,01-01-2015 09:00
2015,1,1,10,24.24,8.61,95.41,1.43,115.87,2.05,107.54,0,43.19,10.87,17.56,01-01-2015 10:00
2015,1,1,11,24.05,8.73,95.3,1.62,136.17,2.09,130.3,0,44.44,11.15,17.6,01-01-2015 11:00
2015,1,1,12,24.08,8.91,95.19,1.72,147.61,2.17,143.79,0,45.25,11.49,17.79,01-01-2015 12:00
2015,1,1,13,23.69,9.28,95.14,1.72,157.28,2.27,155.38,0,48.06,12.03,17.86,01-01-2015 13:00
2015,1,1,14,23.22,9.89,95.12,1.49,154.51,2.25,152.72,0,52.81,13.01,18.11,01-01-2015 14:00
2015,1,1,15,22.09,10.25,95.12,1.33,148.17,2.2,146.87,0,58.75,13.61,17.85,01-01-2015 15:00
2015,1,1,16,19.99,11.41,95.13,1.12,152.54,1.87,152.58,0,74.12,15.14,17.57,01-01-2015 16:00
2015,1,1,17,19.4,9.46,95.19,0.27,140.83,0.41,136.55,0,63.75,12.31,15.86,01-01-2015 17:00
2015,1,1,18,18.62,9.28,95.27,0.81,11.09,1.06,12.3,0,65.94,12.08,15.35,01-01-2015 18:00
2015,1,1,19,17.66,9.22,95.36,1.24,9.82,1.67,11.36,0,69.69,12,14.83,01-01-2015 19:00
2015,1,1,20,16.91,9.16,95.42,1.47,7.96,2.03,9.75,0,72.31,11.84,14.37,01-01-2015 20:00
2015,1,1,21,16.1,9.22,95.43,1.74,14.29,2.56,15.61,0,76.75,11.96,14.03,01-01-2015 21:00
2015,1,1,22,15.05,9.34,95.39,2.06,22.29,3.51,23.48,0,83.19,12.14,13.59,01-01-2015 22:00
2015,1,1,23,14.3,9.09,95.36,2.2,18.43,4.2,19.78,0,85.19,11.77,13.04,01-01-2015 23:00
2015,1,2,0,14.04,8.97,95.32,2.34,16.26,4.53,17.78,0,85.62,11.58,12.81,02-01-2015 00:00
2015,1,2,1,14.05,8.97,95.26,2.3,20.9,4.42,22.57,0,85.25,11.54,12.8,02-01-2015 01:00
2015,1,2,2,14.09,8.91,95.21,2.17,26.29,4.15,27.58,0,84.19,11.4,12.74,02-01-2015 02:00
2015,1,2,3,14.2,8.85,95.19,2.07,28.21,3.92,28.87,0,83.12,11.29,12.75,02-01-2015 03:00
2015,1,2,4,14.36,8.85,95.22,2.01,32.64,3.83,32.27,0,82.44,11.31,12.83,02-01-2015 04:00
2015,1,2,5,14.4,8.85,95.26,2.02,37.31,3.79,36.61,0,81.94,11.26,12.83,02-01-2015 05:00
2015,1,2,6,14.37,8.61,95.32,2.07,41.79,3.5,40.84,0,80,10.87,12.62,02-01-2015 06:00
2015,1,2,7,16.3,10.01,95.39,1.56,42.77,3.27,41.22,0,82.31,13.15,14.73,02-01-2015 07:00
2015,1,2,8,19.79,10.25,95.46,1.39,54.35,2.27,57.35,0,67.88,13.58,16.69,02-01-2015 08:00
2015,1,2,9,22.04,9.77,95.51,1.34,110.13,1.85,107.67,0,56.25,12.85,17.44,02-01-2015 09:00
2015,1,2,10,23.25,9.95,95.46,1.57,139.03,1.93,135.82,0,53.31,13.17,18.21,02-01-2015 10:00
2015,1,2,11,23.92,10.31,95.33,1.71,153.08,2.04,152.16,0,52.75,13.62,18.77,02-01-2015 11:00
2015,1,2,12,24.23,10.56,95.2,1.73,157.72,2.08,158.44,0,53.19,14.05,19.14,02-01-2015 12:00
2015,1,2,13,24.19,10.86,95.13,1.59,157.83,1.96,159.26,0,54.56,14.4,19.3,02-01-2015 13:00
2015,1,2,14,23.76,11.17,95.09,1.4,156.01,1.84,157.79,0,57.62,14.85,19.3,02-01-2015 14:00
2015,1,2,15,23.3,11.72,95.09,1.06,162.5,1.63,164.96,0,62.25,15.55,19.42,02-01-2015 15:00
2015,1,2,16,21.46,11.9,95.13,0.57,182.35,1.09,181.64,0,70.69,15.81,18.63,02-01-2015 16:00
2015,1,2,17,20.05,10.8,95.18,0.25,292.48,0.31,293.96,0,70.06,14.38,17.21,02-01-2015 17:00
2015,1,2,18,18.87,10.99,95.24,0.92,351.73,1.41,352.36,0,76.69,14.64,16.76,02-01-2015 18:00
2015,1,2,19,17.8,10.99,95.28,1.47,4.59,2.32,4.64,0,82.25,14.66,16.23,02-01-2015 19:00
2015,1,2,20,16.76,10.86,95.31,1.75,13.66,2.92,14.07,0,86.69,14.46,15.62,02-01-2015 20:00
2015,1,2,21,16.15,10.68,95.3,1.85,22.66,3.17,24.03,0,88.75,14.2,15.17,02-01-2015 21:00
2015,1,2,22,15.86,10.56,95.28,1.82,29.65,3.2,33.96,0,89.12,13.98,14.92,02-01-2015 22:00
2015,1,2,23,15.71,10.38,95.25,1.77,34.18,3.19,39.73,0,88.5,13.73,14.72,02-01-2015 23:00
2015,1,3,0,15.6,10.19,95.23,1.76,37.23,3.21,42.24,0,87.69,13.48,14.55,03-01-2015 00:00
2015,1,3,1,15.44,10.07,95.19,1.78,36.06,3.26,39.75,0,87.38,13.28,14.36,03-01-2015 01:00
2015,1,3,2,15.24,10.01,95.16,1.78,32.99,3.26,35.83,0,87.62,13.13,14.19,03-01-2015 02:00
2015,1,3,3,14.99,9.89,95.14,1.85,30.26,3.36,32.77,0,88.19,12.98,13.99,03-01-2015 03:00
2015,1,3,4,14.73,9.83,95.15,1.97,30.53,3.58,32.51,0,89,12.85,13.79,03-01-2015 04:00
2015,1,3,5,14.51,9.7,95.18,2.07,33.15,3.71,35.23,0,89.56,12.73,13.62,03-01-2015 05:00
2015,1,3,6,14.4,9.64,95.22,2.12,36.62,3.8,38.99,0,89.69,12.64,13.51,03-01-2015 06:00
2015,1,3,7,16.72,10.86,95.29,1.69,43.31,3.61,43.68,0,87.06,14.44,15.58,03-01-2015 07:00
2015,1,3,8,19.98,11.23,95.35,1.44,70.68,2.02,73.81,0,73.19,14.99,17.48,03-01-2015 08:00
2015,1,3,9,22.37,11.35,95.4,1.36,151.52,1.73,156.8,0.01,64.06,15.21,18.79,03-01-2015 09:00
2015,1,3,10,23.49,11.6,95.35,1.91,178.59,2.41,181.86,0.01,61.06,15.52,19.51,03-01-2015 10:00
2015,1,3,11,24.09,11.84,95.23,2.2,184.27,2.81,187.52,0.02,60,15.82,19.95,03-01-2015 11:00
2015,1,3,12,24.22,12.02,95.11,2.3,188.19,3,191.11,0.04,60.44,16.05,20.13,03-01-2015 12:00
2015,1,3,13,24.03,12.21,95.02,2.33,196.18,3.19,199.01,0.05,61.94,16.26,20.15,03-01-2015 13:00
2015,1,3,14,23.46,12.51,94.99,2.17,203.33,3.25,205.82,0.06,65.62,16.62,20.04,03-01-2015 14:00
2015,1,3,15,22.46,13.06,94.98,1.89,210.92,3.16,212.91,0.09,72.69,17.24,19.85,03-01-2015 15:00
2015,1,3,16,20.26,13.67,94.99,1.4,223.42,2.78,221.93,0.08,87,17.94,19.09,03-01-2015 16:00
2015,1,3,17,18.61,12.33,95.05,1.41,237.89,2.34,234.24,0.06,87.38,16.4,17.5,03-01-2015 17:00
2015,1,3,18,18.53,11.96,95.1,1.09,245.08,1.65,246.23,0.05,85.31,15.94,17.24,03-01-2015 18:00
2015,1,3,19,18.58,11.84,95.14,0.51,256.81,0.77,259.49,0.04,83.75,15.73,17.15,03-01-2015 19:00
2015,1,3,20,18.12,11.66,95.15,0.2,27.55,0.25,22.48,0.02,84.94,15.49,16.81,03-01-2015 20:00
2015,1,3,21,17.2,11.41,95.12,0.74,50.12,1.04,53.22,0.02,88.25,15.2,16.2,03-01-2015 21:00
2015,1,3,22,16.45,11.23,95.09,1.17,51.52,1.74,55.03,0.01,91.12,14.94,15.69,03-01-2015 22:00
2015,1,3,23,15.98,11.11,95.05,1.41,47.92,2.17,50.86,0.01,92.69,14.73,15.35,03-01-2015 23:00
2015,1,4,0,15.58,10.93,95.03,1.52,43.54,2.36,45.8,0.01,93.75,14.52,15.05,04-01-2015 00:00
2015,1,4,1,15.37,10.8,94.99,1.45,46.31,2.21,48.15,0.01,93.88,14.32,14.84,04-01-2015 01:00
2015,1,4,2,15.33,10.68,94.97,1.24,58.91,1.82,60.35,0.02,93.06,14.16,14.75,04-01-2015 02:00
2015,1,4,3,15.3,10.62,94.95,1.08,74.96,1.54,77.66,0.02,92.69,14.07,14.69,04-01-2015 03:00
2015,1,4,4,15.34,10.62,94.95,1.01,80.61,1.39,82.91,0.02,92.38,14.07,14.7,04-01-2015 04:00
2015,1,4,5,15.41,10.68,94.98,0.97,78.87,1.31,81.44,0.03,92.25,14.11,14.76,04-01-2015 05:00
2015,1,4,6,15.31,10.68,95.03,1.02,77.66,1.39,79.01,0.04,93,14.15,14.73,04-01-2015 06:00
2015,1,4,7,16.42,11.78,95.07,0.9,78.5,1.5,82.8,0.07,95.69,15.65,16.04,04-01-2015 07:00
2015,1,4,8,19.31,13.12,95.13,0.73,166.41,1.29,184.85,0.21,88.81,17.28,18.3,04-01-2015 08:00
2015,1,4,9,21.16,12.63,95.14,1.52,198.25,2.19,202.64,0.71,76.31,16.77,18.97,04-01-2015 09:00
2015,1,4,10,21.8,12.15,95.07,1.77,206.11,2.34,210.77,1.09,70.31,16.12,18.97,04-01-2015 10:00
2015,1,4,11,22.18,12.08,94.93,2.02,214.3,2.65,218.77,1.18,68.38,16.01,19.09,04-01-2015 11:00
